Genotype	Origin	Site_planted	Taxon	Order	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	k__Bacteria;p__Actinobacteria;c__Thermoleophilia	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	k__Bacteria;p__Cyanobacteria;c__	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	k__Bacteria;p__Chloroflexi;c__Anaerolineae	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Chloroflexi;c__Ellin6529	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	Others
OCC	Inland	Coastal	Mim152	F	0.152163199	0.064842394	0.085285105	0.076328026	0.06557096	0.067842373	0.031478347	0.053399619	0.048063942	0.033299762	0.01043564	0.017849873	0.016885594	0.016864165	0.02438554	0.013907044	0.019692716	0.019499861	0.007264234	0.011678488	0.16326312
OCC	Inland	Coastal	Mim172	G	0.128202463	0.079873201	0.098503352	0.063555579	0.035285558	0.05773528	0.025567739	0.020578912	0.039027179	0.036974484	0.026191342	0.019175804	0.010003638	0.01592787	0.013225589	0.018032531	0.017538845	0.01959154	0.007665125	0.014160994	0.253182976
OCC	Inland	Coastal	Mim176	H	0.151416703	0.085280672	0.097602859	0.072262316	0.045807904	0.058246119	0.029215882	0.030399369	0.054440396	0.036920149	0.017914743	0.017961154	0.012322187	0.015431741	0.015942264	0.013621702	0.020119277	0.016731256	0.008725315	0.014712366	0.184925626
OCC	Inland	Coastal	Mim238	I	0.145239905	0.066963288	0.081317355	0.108527478	0.052743371	0.062089165	0.027008899	0.026025131	0.040379198	0.040289764	0.041698341	0.018982247	0.008250235	0.018579797	0.01307964	0.018154988	0.024705988	0.018557439	0.006215624	0.010150695	0.171041452
SWB	Coastal	Coastal	Mim181	O	0.127745467	0.088299692	0.097536777	0.048751283	0.02877181	0.05826206	0.02278481	0.009750257	0.029182347	0.01895313	0.095484092	0.014950393	0.016729388	0.013992473	0.012624016	0.012692439	0.019466302	0.013547725	0.009066028	0.010879234	0.250530277
SWB	Coastal	Coastal	Mim182	P	0.138700947	0.078507769	0.086953479	0.055223741	0.043651719	0.058466707	0.023960618	0.010802109	0.031799729	0.021347581	0.061546358	0.013438477	0.020157715	0.01693808	0.012785218	0.013181839	0.020181046	0.013671784	0.007955765	0.011665345	0.259063973
SWB	Coastal	Coastal	Mim190	Q	0.144285975	0.081313019	0.090280173	0.060781887	0.04213751	0.062323751	0.019131282	0.011523402	0.034509342	0.019395021	0.062749792	0.01495202	0.022559899	0.016291006	0.018177761	0.013856485	0.020531131	0.013166704	0.00961636	0.01381591	0.22860157
SWB	Coastal	Coastal	Mim22	R	0.110000281	0.080064029	0.064646578	0.019714117	0.063607515	0.055688169	0.062905445	0.051616164	0.032070544	0.0497627	0.005054902	0.04754416	0.029599259	0.032154792	0.040832374	0.017298997	0.006880283	0.006178213	0.01390098	0.003117189	0.207363307
SWB	Coastal	Coastal	Mim228	S	0.17310474	0.065068412	0.108439449	0.101562685	0.053591331	0.052808802	0.025586303	0.024993479	0.029000972	0.032771336	0.048232197	0.02093856	0.004790022	0.011975054	0.011311091	0.020084892	0.023357283	0.01536601	0.005122003	0.012544165	0.159351213
LMC	Inland	Inland	Mim109	T	0.105886629	0.11033421	0.076036521	0.035986914	0.050740907	0.052750871	0.074368679	0.053092993	0.035067462	0.035302671	0.012145316	0.043385293	0.040220668	0.021596425	0.019287104	0.013406889	0.013898689	0.013749011	0.015267176	0.004811085	0.172664486
LMC	Inland	Inland	Mim212	U	0.161447051	0.061676054	0.083152813	0.050535372	0.049142786	0.066967878	0.021445813	0.013647336	0.03558829	0.026335335	0.117441357	0.01200718	0.017608467	0.015844526	0.01445194	0.008757814	0.029275237	0.01513276	0.006220214	0.028749149	0.164572631
LMC	Inland	Inland	Mim67	V	0.13330124	0.061481329	0.059418197	0.022304747	0.06634115	0.039061963	0.082296036	0.062283658	0.046558008	0.066409921	0.003851179	0.040712468	0.018912042	0.038076244	0.030763588	0.017444926	0.007450198	0.011828623	0.013456204	0.003576095	0.174472182
LMC	Inland	Inland	Mim83	W	0.10709988	0.111512234	0.079723225	0.025491376	0.044424388	0.039751304	0.080084236	0.059245888	0.030665864	0.030004011	0.006799037	0.040633775	0.03977136	0.021760931	0.013598075	0.009526675	0.010709988	0.009907742	0.027196149	0.003389491	0.208704372
LMC	Inland	Inland	Mim87	X	0.105507603	0.109579454	0.074205247	0.031111488	0.049095498	0.051279876	0.080249401	0.065085997	0.035543868	0.030856997	0.00799525	0.042584777	0.036625453	0.019001972	0.016032914	0.011430874	0.014378725	0.013233516	0.021843785	0.004750493	0.179606812
MRR	Coastal	Inland	Mim11	ZD	0.099098827	0.081861618	0.0684045	0.019263336	0.055854603	0.052679327	0.050441514	0.044907463	0.037286803	0.051469699	0.002842627	0.048385146	0.051227773	0.033657917	0.038224265	0.01814443	0.007681142	0.013184952	0.020775372	0.003175275	0.20143341
MRR	Coastal	Inland	Mim2	ZE	0.113124612	0.093627808	0.060701669	0.027047434	0.066742173	0.040261036	0.061510665	0.07680069	0.040395869	0.024917078	0.009546153	0.031550845	0.035541893	0.026562037	0.020926031	0.019254106	0.010543915	0.01283607	0.018067578	0.003074185	0.206968153
MRR	Coastal	Inland	Mim201	ZF	0.161447051	0.061676054	0.083152813	0.050535372	0.049142786	0.066967878	0.021445813	0.013647336	0.03558829	0.026335335	0.117441357	0.01200718	0.017608467	0.015844526	0.01445194	0.008757814	0.029275237	0.01513276	0.006220214	0.028749149	0.164572631
MRR	Coastal	Inland	Mim32	ZG	0.097393272	0.107707037	0.067692241	0.038948605	0.062208973	0.044431873	0.047499891	0.061382132	0.05035032	0.026197833	0.012511423	0.038905087	0.038143522	0.025436268	0.018756256	0.035728274	0.008333696	0.030245006	0.013294747	0.01042256	0.164410984
MRR	Coastal	Inland	Mim57	ZH	0.107544053	0.047797357	0.05688326	0.012610132	0.061343612	0.054047357	0.124421806	0.058232379	0.034994493	0.114317181	0.00027533	0.034526432	0.010490088	0.027340308	0.033204846	0.006938326	0.011178414	0.002863436	0.01902533	0.002643172	0.179322687
OCC	Inland	Inland	Mim1	Y	0.119971851	0.084334975	0.052948628	0.020745954	0.071133005	0.043152709	0.084757213	0.078339198	0.0278114	0.028233638	0.008866995	0.029049965	0.040647431	0.027529909	0.025643913	0.013736805	0.007966221	0.016439127	0.0226038	0.004729064	0.191358198
OCC	Inland	Inland	Mim31	Z	0.106273607	0.077129383	0.067675391	0.013611068	0.053460877	0.050086047	0.071787766	0.072458262	0.029926469	0.022685113	0.006503811	0.04302349	0.058266097	0.032653152	0.023959055	0.013119371	0.013074671	0.004268824	0.030038218	0.002257336	0.207741993
OCC	Inland	Inland	Mim58	ZA	0.14454922	0.062365994	0.050625533	0.01913029	0.078644435	0.041070797	0.107558442	0.064968047	0.039343034	0.082557922	0.000999188	0.030246258	0.015778846	0.030142176	0.024105414	0.009471471	0.009554737	0.003892671	0.015633131	0.002373072	0.166989321
OCC	Inland	Inland	Mim66	ZB	0.135074742	0.070195716	0.05838085	0.02704577	0.068089588	0.039451379	0.077284636	0.06518724	0.05077824	0.046745775	0.034828171	0.042816048	0.022730775	0.029691272	0.018030513	0.016027123	0.00583038	0.015076797	0.013355936	0.002671187	0.160707865
OCC	Inland	Inland	Mim97	ZC	0.103830373	0.085820987	0.06279944	0.014913638	0.055846294	0.04537972	0.079088966	0.074568192	0.030859193	0.022628437	0.005159578	0.037836908	0.063561092	0.030760915	0.020245203	0.013611459	0.010564851	0.00383283	0.032873885	0.002063831	0.203754208
OCC	Inland	Inland	Mim98	ZI	0.104147115	0.095611565	0.070585869	0.03322608	0.060709657	0.035259418	0.055637485	0.058609286	0.064552889	0.025517272	0.008647272	0.038767484	0.039549537	0.02274657	0.016512491	0.038856862	0.007686464	0.039080306	0.012959735	0.00996559	0.161371051
SWB	Coastal	Inland	Mim12	ZJ	0.08756549	0.080114788	0.07121607	0.013295422	0.066082195	0.051891636	0.059816234	0.096622173	0.02932891	0.030355685	0.000473896	0.050311982	0.039807282	0.043677435	0.053655583	0.013295422	0.007713977	0.001316378	0.016191454	0.001605982	0.185662007
SWB	Coastal	Inland	Mim255	ZK	0.114234786	0.068393622	0.073489237	0.061263635	0.054598648	0.044252417	0.035669308	0.031426191	0.03739368	0.027783698	0.11991165	0.020421212	0.007207486	0.016662469	0.010384981	0.018871215	0.021622459	0.022959332	0.003952493	0.060701761	0.148799721
SWB	Coastal	Inland	Mim46	ZL	0.127367412	0.076171723	0.048630723	0.018576573	0.083322538	0.045910304	0.092235148	0.067077752	0.043630334	0.075290826	0.001088167	0.036349975	0.018835661	0.032463663	0.028784621	0.013653911	0.005207659	0.006477187	0.012565743	0.003031324	0.163328756
SWB	Coastal	Inland	Mim47	ZM	0.107322714	0.056328571	0.059462081	0.010333122	0.071772298	0.040250681	0.090237625	0.045846234	0.053306972	0.115231096	0.000373037	0.03528929	0.020405118	0.038236282	0.058156452	0.01051964	0.005520946	0.004364532	0.010146603	0.002163614	0.164733092
SWB	Coastal	Inland	Mim93	ZN	0.141419134	0.114546353	0.102705253	0.049835977	0.032579877	0.037770188	0.063519525	0.043746911	0.03853413	0.022716038	0.011211971	0.035568238	0.038084753	0.01444749	0.015570934	0.016896598	0.010650249	0.023637262	0.012717386	0.004291556	0.169550173
