	Mim109	Mim11	Mim12	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim201	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim2	Mim31	Mim32	Mim46	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
207355	3	7	2	10	8	12	11	2	10	3	16	0	2	3	2	6	0	2	2	8	0	3	1	3	7	3	27	0	58	9	0	6	19	6	3	4	1	1	28
829415	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
816631	46	45	37	14	8	7	24	6	17	19	15	5	5	7	4	20	26	2	38	10	11	84	14	17	14	4	13	18	12	1	1	3	9	5	16	29	27	14	18
1107738	60	36	10	92	117	121	177	108	93	114	95	86	83	101	106	22	1	96	21	128	147	19	217	121	126	73	49	39	63	47	25	44	40	45	49	63	38	26	61
1140754	15	18	136	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	58	0	0	26	0	0	1	0	0	7	0	1	0	1	0	5	6	6	3	11	0
354190	6	1	0	21	7	1	1	1	21	1	6	0	1	0	5	0	8	2	0	5	1	0	1	1	1	0	0	0	0	0	0	0	0	0	4	0	2	0	0
1013014	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	5	2	0	0
994823	105	33	85	9	12	8	15	18	38	12	31	7	12	1	2	112	0	2	64	23	15	71	24	25	25	34	57	85	47	56	54	63	52	43	91	100	93	110	60
1105814	244	318	294	147	146	185	293	266	273	137	217	80	98	86	79	425	37	115	371	175	247	371	306	193	135	194	338	356	209	517	553	620	531	565	418	323	220	346	262
366443	42	7	1	1	3	2	16	2	5	1	4	0	0	0	2	10	0	0	5	0	1	7	1	0	5	6	12	7	20	0	0	2	4	1	4	25	13	5	6
4352293	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	5	2	0	0
4402900	22	14	16	15	13	11	10	3	11	5	7	0	1	4	5	11	0	4	18	7	5	13	1	5	7	4	26	19	16	22	15	27	27	24	15	23	17	16	16
356083	3	2	0	1	0	0	3	0	0	0	0	0	0	0	0	6	0	0	1	0	0	6	0	0	2	0	12	7	14	0	1	3	3	1	1	2	2	6	8
27005	0	0	0	3	4	1	0	0	0	2	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1
1096310	14	13	13	3	1	6	0	4	2	0	2	4	5	3	1	15	0	2	22	6	4	11	2	1	5	2	7	27	13	21	27	15	26	13	19	19	17	13	11
303643	59	45	11	38	24	28	45	41	43	29	44	31	31	28	33	62	1	46	34	29	50	50	46	36	29	34	51	42	33	45	34	52	54	37	55	64	46	50	47
817955	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_dn_708	2	0	0	0	0	1	6	1	0	0	1	0	0	0	0	0	0	0	0	3	3	0	7	0	0	4	2	1	1	0	0	3	0	0	0	1	0	0	1
238280	27	30	40	1	0	3	1	2	1	5	12	3	0	1	0	76	0	1	50	2	0	47	1	3	3	1	28	43	26	70	131	88	58	55	43	44	30	65	15
115374	140	24	4	2	0	30	1	3	0	9	1	21	3	1	4	3	0	8	21	0	2	20	13	0	0	0	0	35	87	0	2	0	1	0	253	192	131	23	83
1121134	14	4	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	1	1	0	0	0	0	10	23	0	0	0	0	0	43	11	20	6	10
OTU_dn_1452	3	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	3	4	2	0	0	0	1	2	1	4	2	6
774718	5	5	10	39	26	18	38	10	17	5	6	0	1	1	1	9	0	0	6	9	25	6	2	20	5	7	9	16	22	39	15	34	32	25	8	10	2	17	11
537655	38	0	0	198	224	176	207	94	126	230	177	214	122	141	161	0	0	64	0	109	207	4	169	204	227	172	0	0	0	0	0	1	1	9	16	29	29	0	0
564587	5	2	0	6	6	12	9	13	32	12	17	9	29	22	46	0	0	80	0	6	5	0	8	6	2	9	0	0	0	0	0	0	0	0	2	3	0	0	0
698517	8	10	10	0	0	2	4	0	0	5	2	1	3	0	0	11	2	2	2	2	1	3	2	0	0	1	5	8	7	40	59	26	32	44	6	7	5	3	4
128177	5	16	23	30	29	31	35	26	55	34	36	48	52	53	57	11	0	76	14	77	66	7	38	53	55	45	2	18	3	24	21	20	8	21	8	36	6	16	1
817295	105	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	599	82	9	0	0
223904	16	42	29	2	0	2	3	2	2	0	4	3	0	1	0	41	0	0	19	1	4	41	1	6	1	0	16	53	18	29	9	22	18	10	53	25	12	60	19
610486	2	0	0	1	3	3	1	0	0	6	3	3	7	14	2	0	0	3	0	8	1	7	1	0	5	3	0	0	0	0	0	0	0	0	1	0	2	0	0
809189	22	6	7	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	8	0	0	10	0	0	3	1	2	3	2	2	0	5	5	1	14	20	8	3	6
279358	15	21	20	7	8	10	12	7	22	19	16	3	2	7	4	24	0	10	10	9	15	16	6	6	34	13	22	9	17	16	14	8	19	15	12	7	17	22	26
OTU_dn_4147	1	0	1	0	0	0	0	0	0	0	0	2	0	2	0	3	0	1	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	4	5	0
OTU_dn_112	9	7	17	0	0	1	2	2	6	6	9	1	1	1	0	19	0	2	15	1	0	15	1	0	3	2	10	8	0	16	27	27	8	31	20	8	19	3	2
OTU_dn_2252	9	4	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	3	0	0	9	0	0	0	0	13	4	6	19	9	15	6	11	6	5	9	11	12
1107128	73	83	58	28	31	57	132	40	47	49	76	53	56	75	45	60	0	56	61	40	36	145	55	62	79	40	91	56	54	313	248	319	171	239	90	74	22	35	46
1024519	0	1	1	0	0	2	8	0	0	2	0	0	0	2	0	5	0	1	1	1	0	3	2	3	2	0	3	3	0	0	0	1	0	0	0	0	2	0	0
588567	2	1	1	1	0	3	3	4	0	1	6	1	1	2	4	0	0	4	0	7	7	0	5	4	2	4	1	0	0	0	0	0	0	0	2	2	2	0	5
4463932	39	3	0	4	7	1	2	1	11	5	11	2	1	11	5	0	0	0	0	1	0	0	0	2	4	0	1	0	1	11	2	2	5	23	2	16	34	2	1
OTU_dn_55	21	10	2	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	22	0	0	7	1	0	0	0	13	23	5	12	1	20	15	13	23	14	8	20	4
795504	135	25	5	171	93	119	97	315	194	300	214	308	634	552	733	56	1	672	44	575	383	29	874	425	193	781	57	15	68	5	3	6	12	5	50	62	103	14	61
OTU_dn_3644	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
336824	11	11	7	4	1	2	1	2	3	4	4	3	8	19	3	12	0	22	8	1	0	6	0	2	4	1	11	11	15	8	12	12	20	15	15	6	16	1	19
543366	9	20	36	1	2	1	3	3	3	5	2	6	2	2	8	14	0	1	25	2	0	14	2	4	4	2	20	17	6	19	4	16	17	9	9	6	4	14	5
821362	61	9	1	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	2	0	0	6	0	0	0	0	0	7	23	0	0	0	0	2	47	40	37	0	27
357743	27	1	0	82	81	31	51	41	49	27	45	22	20	22	24	0	0	49	0	52	51	0	71	53	73	73	2	0	8	0	0	0	0	0	27	10	24	0	7
OTU_dn_12352	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
579757	44	13	77	0	1	46	7	18	18	7	7	21	12	7	4	21	0	21	136	12	12	114	51	21	10	7	0	27	6	0	4	0	0	0	6	16	29	30	5
OTU_dn_171	7	10	3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	8	0	0	1	0	0	0	0	17	27	2	0	0	0	0	0	13	10	3	9	3
2714250	15	13	11	6	19	18	30	7	8	14	10	5	26	9	23	10	24	27	18	10	4	12	3	11	16	8	13	6	25	5	1	0	2	5	13	11	5	8	14
4299272	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	1
170623	0	0	0	15	26	18	6	10	14	15	6	14	25	24	15	0	0	2	0	18	9	0	20	10	14	18	0	0	0	0	0	0	0	0	0	0	0	0	0
2775220	2	1	0	29	26	28	38	23	29	29	22	19	5	11	6	1	0	10	7	31	31	6	47	19	14	39	4	5	8	1	4	2	3	5	0	0	0	8	4
574991	11	11	17	6	6	4	5	11	7	8	6	1	7	2	2	5	0	1	1	15	6	7	12	10	1	0	10	8	3	5	1	9	11	5	18	6	13	5	2
407132	2	6	7	0	0	0	0	0	0	0	0	2	1	2	0	2	0	6	5	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	3	6	5	1	0
549557	80	23	11	1	4	5	1	5	5	0	6	1	1	4	0	64	0	1	35	5	1	36	3	2	3	2	28	60	29	1	3	4	8	4	43	72	41	82	26
812809	14	6	6	15	15	23	6	7	9	4	11	6	14	15	19	5	0	5	7	8	5	11	7	8	24	4	7	4	2	7	9	6	5	1	3	4	2	6	0
160786	40	4	7	0	0	0	0	0	0	0	0	26	8	16	20	9	0	13	27	0	1	33	0	0	0	0	7	11	2	1	2	1	0	1	10	22	15	5	0
564690	16	25	15	10	4	14	16	33	18	7	18	5	5	10	6	31	0	5	30	17	29	30	33	21	10	13	13	19	6	58	49	51	41	26	41	38	12	17	10
436550	3	4	6	6	1	3	1	4	2	1	6	4	20	8	8	6	0	8	8	4	2	6	7	2	2	2	4	4	7	0	2	1	0	2	3	9	5	2	7
364646	28	10	53	25	19	12	9	9	5	12	19	16	9	7	7	26	0	2	40	7	9	20	7	13	18	2	34	15	9	33	2	24	27	25	26	29	19	11	23
1107044	10	11	16	11	5	16	3	1	0	7	11	11	6	5	7	0	0	8	8	2	15	10	4	4	18	4	0	6	2	1	6	0	2	0	15	16	26	5	0
1110356	5	11	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	1	0	35	0	3	0	0	7	0	16	0	0	0	4	0	5	4	2	0	8
818282	30	22	12	80	77	84	76	81	107	79	96	106	101	94	133	13	0	108	12	119	81	21	143	99	73	66	22	26	21	8	32	16	3	10	22	31	35	27	18
330902	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
1129425	93	36	18	39	14	36	48	19	38	23	25	15	3	4	2	57	0	9	37	49	43	51	60	43	31	32	79	77	92	54	12	68	73	55	102	90	62	72	86
594023	17	1	11	0	0	1	0	1	1	0	0	0	0	0	0	6	0	0	2	0	1	2	0	0	1	1	4	6	3	4	4	5	8	6	7	3	4	8	2
826836	25	3	9	0	0	22	0	0	0	0	0	7	2	3	0	0	0	14	24	2	1	17	8	0	0	0	0	10	4	0	6	0	0	0	82	25	54	2	5
940828	14	9	5	3	1	1	6	2	3	1	4	0	0	1	0	24	0	0	4	2	5	4	1	3	2	5	37	22	24	10	2	11	8	11	23	27	10	22	29
738779	10	3	31	0	1	1	0	0	0	1	1	11	6	0	2	3	0	0	13	0	0	13	2	0	1	1	2	31	4	0	0	0	0	0	16	15	6	19	1
OTU_dn_1845	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0
4297482	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4457669	4	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	3	1	0	1
1116937	57	67	78	6	7	17	6	11	2	5	6	3	2	1	2	47	0	0	48	3	11	40	11	8	1	8	39	103	48	55	39	25	30	29	75	80	38	71	44
224494	4	2	12	6	4	4	2	5	5	6	12	3	2	6	2	3	0	2	4	3	6	8	4	1	7	11	0	4	0	5	17	5	2	10	8	2	4	5	0
1044436	60	45	67	18	19	40	24	31	33	75	57	46	34	37	39	32	0	11	83	27	34	142	61	56	75	28	24	46	25	35	28	11	21	13	40	39	33	31	22
226718	60	62	50	45	46	42	73	27	38	41	37	36	40	45	45	36	0	55	56	43	25	47	73	39	24	16	52	32	43	42	59	54	49	60	47	41	49	25	36
OTU_dn_212	2	5	5	10	0	1	2	2	1	0	3	0	0	1	2	0	0	3	6	8	0	11	1	3	5	5	6	16	0	16	9	4	12	12	6	5	2	8	2
215423	17	34	35	5	1	2	2	4	4	0	2	2	1	6	1	25	0	0	17	1	3	23	0	0	6	2	14	28	13	56	20	60	16	49	12	14	10	22	22
512563	361	266	182	18	46	57	63	96	48	55	85	26	34	18	18	280	0	25	277	36	43	186	54	73	63	40	136	226	70	234	324	349	260	302	340	348	209	262	83
4366263	48	24	11	0	11	4	1	0	3	0	1	2	0	2	2	72	0	1	37	0	0	14	0	2	1	1	79	53	31	22	6	16	14	16	71	50	32	71	30
551647	55	80	14	6	13	9	5	7	4	2	9	6	1	3	3	46	0	1	36	3	0	42	1	2	10	4	116	57	96	41	10	190	161	125	23	50	46	62	148
546305	10	7	4	1	0	2	1	3	7	0	4	5	4	1	2	7	0	0	3	2	2	15	2	2	1	2	0	5	0	8	7	6	7	9	4	5	7	2	3
107234	40	32	7	0	0	0	2	0	3	1	0	0	0	0	0	107	0	0	16	1	1	20	0	0	0	0	73	108	36	114	15	103	153	102	109	95	27	66	39
OTU_dn_1192	4	0	0	4	0	4	0	0	0	2	1	5	4	2	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	5	0	0
152581	9	6	22	0	0	0	0	0	0	1	2	0	0	1	2	14	0	0	13	0	0	9	0	0	0	0	7	11	7	9	2	5	3	9	4	6	13	3	3
136998	13	27	57	4	7	3	1	0	0	2	0	1	1	1	0	42	6	0	65	1	2	51	3	2	2	5	19	27	18	26	14	21	24	32	6	8	6	13	15
OTU_dn_66	63	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	88	0	0	0	0	4	1	2	0	0	0	0	0	2	67	3	0	3
592129	29	36	77	17	23	17	16	4	1	13	18	8	1	7	7	26	0	5	25	4	19	43	42	17	26	36	42	25	68	42	27	68	45	42	25	24	25	21	38
4317750	4	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	10	2	8	1	1
709657	20	21	35	31	30	50	66	40	36	25	26	16	15	7	13	36	0	15	28	25	25	27	40	33	5	13	42	22	15	52	27	79	27	51	43	33	32	44	14
962736	20	5	0	10	22	25	21	37	29	28	42	47	42	67	59	3	0	22	2	19	38	3	55	54	35	34	4	2	10	0	1	0	9	2	9	16	7	8	9
893232	5	0	0	2	4	3	13	14	10	7	8	5	2	7	3	1	0	1	0	5	9	0	7	7	6	4	0	0	0	0	0	0	0	0	1	0	1	0	0
OTU_dn_3166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
OTU_dn_50	29	32	51	38	45	47	61	21	31	24	21	14	40	54	43	42	0	29	38	31	18	43	3	23	44	23	88	29	91	67	20	82	73	50	30	22	66	34	109
4017244	36	23	5	17	0	12	2	2	4	7	8	13	14	5	11	18	0	14	16	1	1	32	1	4	9	1	9	16	30	1	0	0	1	0	52	23	41	13	27
512542	35	14	8	86	153	172	251	303	216	123	209	153	138	139	92	16	1	104	22	185	271	25	266	265	118	145	9	15	12	0	5	0	4	2	27	42	14	11	15
279203	3	1	0	8	3	3	8	9	5	5	2	2	5	6	13	1	1	11	0	4	3	0	10	1	7	10	0	3	4	0	0	0	2	2	0	0	2	3	3
1111413	1	0	0	4	1	1	11	1	2	7	10	2	6	4	8	0	0	4	0	10	3	0	14	15	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU_dn_1771	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2
151855	21	12	3	13	9	15	9	13	17	9	6	6	6	4	6	18	0	7	5	5	11	3	22	14	1	5	16	24	25	1	0	1	7	2	27	40	23	22	16
100640	30	22	10	65	59	28	24	26	22	46	31	72	62	78	68	25	0	21	9	35	10	21	24	21	37	30	43	9	36	29	1	23	36	29	40	31	11	24	16
OTU_dn_2614	0	0	0	0	1	0	0	1	1	0	2	0	5	1	3	0	0	2	0	1	1	0	1	0	3	0	0	0	1	1	2	0	0	0	0	0	0	0	0
1055322	45	16	2	135	394	74	146	41	131	120	165	17	12	3	14	6	0	13	7	30	315	79	77	63	28	167	9	15	67	7	3	2	17	14	8	16	11	19	79
279206	54	33	34	12	22	13	18	11	13	15	25	7	4	9	4	29	0	5	29	8	20	18	18	11	17	10	39	54	60	56	58	44	49	63	64	58	41	61	53
OTU_dn_1995	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	2	0	0
257270	10	51	73	2	1	0	2	0	1	0	0	1	0	0	0	37	0	0	80	4	0	31	0	1	2	1	32	51	17	38	30	43	31	50	17	8	4	38	15
552989	26	28	53	6	3	15	3	2	1	22	5	1	0	1	0	29	0	0	15	0	2	48	3	1	18	11	46	29	23	80	17	50	57	57	54	35	26	34	28
255128	5	4	10	3	1	3	1	2	1	3	6	2	1	1	1	11	0	2	6	1	1	8	3	2	2	5	6	2	4	41	41	48	24	34	8	11	7	3	3
790392	6	3	8	0	2	5	3	5	5	4	3	5	3	5	2	8	0	10	15	6	10	3	1	6	4	4	1	23	1	4	12	3	1	7	9	15	14	24	0
1107011	131	624	266	70	116	144	132	252	196	228	279	106	96	48	58	177	3	79	396	132	279	537	275	249	262	170	73	105	72	894	1510	837	339	609	137	124	118	66	70
226364	0	9	1	4	2	1	4	0	6	20	1	5	4	6	9	1	0	3	1	2	0	3	0	4	3	2	1	5	4	22	29	13	4	23	1	0	1	2	0
1108726	34	25	11	34	34	36	52	36	32	39	62	27	27	30	34	16	0	37	13	50	18	20	25	11	26	30	40	28	52	16	25	23	47	29	35	33	35	42	60
705844	6	6	12	1	7	6	1	13	7	4	21	6	1	2	3	11	1	4	4	8	14	12	5	8	7	8	6	1	6	22	28	26	12	20	18	1	8	3	2
997544	77	135	104	0	0	0	1	0	0	0	0	0	0	0	0	61	112	0	95	0	0	84	0	0	0	0	83	148	66	100	31	56	80	75	85	86	69	119	101
209628	16	0	5	31	28	12	6	10	8	27	25	32	31	32	22	2	0	15	7	13	9	12	22	7	44	41	4	10	19	2	4	6	9	20	9	7	21	2	8
247867	10	16	9	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	23	0	0	13	0	0	0	0	7	15	14	3	4	4	6	7	10	7	7	8	9
1084157	45	5	1	1	1	2	2	0	2	2	0	0	1	0	0	9	0	0	3	2	1	3	0	1	3	3	26	19	8	3	11	11	12	5	23	28	24	17	16
OTU_dn_84	7	0	0	10	5	17	4	6	5	13	14	5	8	7	4	0	0	8	6	9	29	3	18	16	21	15	2	3	1	0	1	2	0	2	4	13	3	0	0
1106653	56	15	20	51	11	31	27	11	24	12	35	8	5	20	11	6	0	1	2	10	0	15	6	7	27	0	20	8	31	10	2	15	26	21	32	20	42	3	24
2565175	1	1	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1	0	0	2	3	0	2
4434807	2	6	16	0	0	0	0	0	2	1	4	2	0	0	0	6	0	0	9	0	1	8	1	1	1	0	12	7	15	17	1	10	3	12	2	1	4	10	7
OTU_dn_11832	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
248505	7	5	5	10	20	29	26	39	27	20	23	24	19	25	17	7	0	21	3	22	29	3	44	20	14	19	5	4	3	6	4	2	4	6	11	10	5	5	3
221791	13	19	8	53	67	51	74	91	98	75	88	52	61	43	66	10	0	83	6	183	126	3	154	181	57	36	11	5	6	0	5	16	5	10	10	12	12	6	5
1021984	57	42	36	70	37	19	30	10	10	5	30	8	0	11	3	42	0	1	25	8	10	44	3	12	12	1	86	19	86	46	30	69	73	82	36	34	61	22	73
543826	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_dn_136	8	3	2	21	10	16	5	7	6	9	7	2	2	3	4	7	0	2	2	5	5	2	13	11	11	19	5	10	11	12	5	12	31	13	6	5	11	5	10
937372	31	59	28	19	23	23	22	20	19	27	14	22	23	2	3	46	141	17	33	11	23	29	24	5	9	29	97	66	86	49	61	56	107	90	48	46	65	55	120
650816	5	2	0	2	0	5	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
354765	18	22	12	3	0	0	5	2	0	3	0	2	2	1	0	54	0	0	15	0	0	37	0	1	5	1	122	35	59	30	16	22	16	31	17	30	9	38	55
2984010	12	0	0	2	3	5	2	5	7	0	2	8	10	6	9	0	0	5	0	18	16	0	7	14	0	1	0	0	0	0	0	0	0	0	8	22	8	0	1
1034378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
531378	7	4	6	15	9	4	8	2	1	3	7	1	8	4	4	1	0	0	8	1	6	7	11	2	7	0	8	0	3	1	5	10	6	6	10	9	6	4	8
143418	3	9	18	11	5	3	8	4	3	1	0	0	2	1	0	8	0	0	14	0	1	12	0	2	3	0	2	1	5	10	8	7	11	9	1	5	3	1	9
813553	1	0	0	0	0	1	0	0	0	4	2	1	0	0	0	1	0	0	0	0	0	1	5	0	3	0	2	0	0	0	0	0	0	0	2	1	1	0	1
940737	71	143	107	42	50	54	53	50	48	66	55	24	109	28	22	55	177	45	68	57	39	70	43	41	34	41	91	85	95	80	115	87	66	86	63	56	55	92	155
788205	29	21	26	4	3	1	4	11	11	5	9	11	12	8	1	34	0	2	17	7	6	11	7	5	7	3	28	73	53	32	12	47	76	31	43	44	14	63	37
583051	43	17	38	0	0	0	0	0	0	0	0	0	0	0	0	22	5	0	22	0	0	9	0	0	0	0	7	49	12	1	0	1	5	0	130	128	52	59	13
562177	2	0	2	2	1	0	1	1	3	2	3	0	0	0	0	10	0	0	4	0	0	0	0	0	0	0	11	3	8	0	6	0	0	0	1	1	1	1	16
OTU_dn_62	60	28	1	5	21	2	1	2	2	3	8	0	1	5	7	47	0	5	14	4	0	22	3	0	2	6	12	5	32	8	0	11	20	22	12	13	51	4	67
4465496	34	13	28	4	5	1	6	0	5	5	3	0	3	1	1	35	0	2	34	5	3	16	1	5	4	3	9	23	9	39	20	42	33	34	63	50	29	34	5
799231	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	6	0	0	0	0	7	10	15	0	0	1	0	0	9	9	4	13	32
114072	7	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	10	1	1	0	3	2	0	0	0	0	0	0	0	1	0	0	0	13	2	4	0	1
