	Mim109	Mim11	Mim12	Mim141	Mim143	Mim151	Mim152	Mim161	Mim162	Mim172	Mim176	Mim181	Mim182	Mim190	Mim191	Mim1	Mim201	Mim212	Mim21	Mim224	Mim228	Mim22	Mim237	Mim238	Mim250	Mim255	Mim2	Mim31	Mim32	Mim46	Mim57	Mim58	Mim66	Mim67	Mim83	Mim87	Mim93	Mim97	Mim98
717396	262	184	249	15	35	29	31	16	30	42	37	29	37	23	9	134	0	36	139	27	27	204	28	42	37	20	127	227	150	143	132	130	104	141	137	247	153	211	109
514449	1	1	5	1	3	6	0	1	3	3	3	0	1	0	1	8	0	0	0	2	1	2	1	5	3	1	1	2	1	0	0	3	0	0	3	0	7	0	0
533650	148	65	63	243	130	143	110	62	67	85	110	66	57	72	46	40	0	61	55	87	162	122	177	120	118	127	45	33	150	25	28	8	12	23	63	111	92	27	138
791738	3	1	0	0	18	6	4	7	3	16	1	1	5	13	6	4	0	27	0	7	7	2	6	2	12	2	5	1	7	4	2	0	1	12	0	0	13	0	5
OTU_dn_1227	6	4	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	4	6	2	0	0	0	0	0	6	2	2	2	7
205306	25	11	22	25	34	34	16	22	28	25	21	39	30	25	29	8	0	21	16	18	12	13	22	12	22	7	11	22	14	11	17	11	20	13	16	13	14	24	6
113674	18	37	36	15	9	15	10	17	16	7	14	6	6	3	9	38	0	6	54	10	3	19	15	4	10	5	36	24	24	35	10	24	55	19	9	33	40	19	37
547148	18	15	24	6	8	16	5	6	6	4	9	3	9	1	3	15	0	4	19	0	0	16	1	0	27	14	14	15	11	4	4	3	10	14	24	17	12	26	10
352324	8	19	20	4	4	6	2	0	0	2	1	0	0	0	1	11	0	0	19	1	0	23	0	1	1	0	10	15	32	6	3	7	13	4	7	13	6	16	24
OTU_dn_4543	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	7	7	2	2	1	1	1	0	1	2	2	0
4345857	51	53	81	76	42	9	22	22	13	17	17	15	11	7	5	73	0	3	41	12	7	86	4	7	15	15	95	29	95	75	35	48	46	69	68	39	64	36	120
865748	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	5	0	0	2	0	0	1	0	1	1	2	2	0	1	0	0	2	0
920852	57	16	17	4	3	10	6	8	6	9	4	4	1	1	1	67	0	8	23	7	6	37	1	7	26	8	37	44	24	104	202	45	32	44	29	56	21	57	17
4339223	19	14	10	5	11	11	8	14	6	22	9	15	6	18	11	6	0	6	18	5	12	12	7	10	6	10	15	26	26	14	22	15	11	16	27	22	21	19	26
358590	8	7	0	23	28	39	10	13	26	42	37	21	17	8	12	14	0	11	9	9	2	6	4	2	91	36	14	12	15	26	12	7	10	17	18	31	10	13	13
OTU_dn_2505	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	1	3	0	0	0	0	1	1	3	11	2	0
564262	49	28	15	34	47	46	55	115	134	140	74	62	76	50	74	13	0	71	29	77	103	17	98	145	28	21	23	13	16	55	203	98	45	48	21	24	20	14	16
225484	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
724271	4	1	1	0	0	0	1	1	0	1	0	0	1	0	0	3	0	1	2	0	0	1	0	0	0	0	2	2	1	4	0	17	2	0	4	0	0	2	1
357721	6	9	8	10	11	4	3	1	3	8	6	7	7	6	5	1	0	0	11	2	3	3	6	1	6	2	5	6	2	2	3	1	1	5	15	3	4	7	11
OTU_dn_146	12	8	3	5	2	4	2	3	2	1	1	0	0	0	0	4	0	0	4	0	1	7	5	3	0	1	9	18	10	9	3	13	20	9	10	16	8	12	6
