	Genotype	Origin	Site_planted	Root_Mass_mg	Shoot_Mass_g	pH	Phosphorous	Potassium	Calcium	Magnesium	Copper	Percent_Organic_Matter	Sodium	Nitrate	Ammonium	Percent_Moisture	TotalN	Sulfur	GenotypeSite	Soil_tempC	Air_TempC
Mim46	MRR	Coastal	Inland	40.9	0.0928	6.0	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.210	18	MRRInland	18.8	31.413624
Mim57	SWB	Coastal	Inland	11.8	0.0266	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	SWBInland	20	31.413624
Mim58	MRR	Coastal	Inland	8.7	0.5298	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14	MRRInland	20.45	31.413624
Mim66	OCC	Inland	Inland	4	0.0558	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19	OCCInland	20.5	28.018908
Mim67	OCC	Inland	Inland	3	0.012	6.2	3	151	2415	1476	22.5	5.3	53	1.2	4.7	19.2	0.215	19	OCCInland	20.4	28.018908
Mim83	LMC	Inland	Inland	4.7	0.0917	6.3	3	189	2635	1791	20.4	4.1	52	0.2	4.1	16.8	0.143	14	LMCInland	20.5	28.018908
Mim87	LMC	Inland	Inland	2.1	0.016	6.0	4	160	2556	1602	25.2	6.1	52	1.1	7.2	19.1	0.239	21	LMCInland	23	28.018908
Mim93	LMC	Inland	Inland	10.3	0.0115	6.0	4	186	2551	1737	22	5.5	48	0.4	7.4	11.5	0.210	18	LMCInland	22.1	28.018908
Mim97	SWB	Coastal	Inland	43.6	0.4276	6.3	3	171	2435	1413	18.3	3.5	47	0.1	4.8	22.5	0.137	15	SWBInland	21.23	31.413624
Mim98	OCC	Inland	Inland	13.7	0.0125	6.3	3	162	2132	975	17.4	3.5	51	0.4	4.5	14.5	0.133	14	OCCInland	22.3	28.018908
